"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/01/2018","AQS","060730001","1","37","ppb","35","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/02/2018","AQS","060730001","1","51","ppb","48","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/03/2018","AQS","060730001","1","40","ppb","38","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/04/2018","AQS","060730001","1","28","ppb","26","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/05/2018","AQS","060730001","1","34","ppb","32","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/06/2018","AQS","060730001","1","27","ppb","25","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/07/2018","AQS","060730001","1","41","ppb","39","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/08/2018","AQS","060730001","1","41","ppb","39","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/09/2018","AQS","060730001","1","36","ppb","34","Chula Vista","23","96.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/10/2018","AQS","060730001","1","23","ppb","22","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/11/2018","AQS","060730001","1","19","ppb","18","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/12/2018","AQS","060730001","1","7","ppb","7","Chula Vista","24","100.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/13/2018","AQS","060730001","1","20","ppb","19","Chula Vista","21","88.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/14/2018","AQS","060730001","1","24","ppb","23","Chula Vista","20","83.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/15/2018","AQS","060730001","1","38","ppb","36","Chula Vista","21","88.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/16/2018","AQS","060730001","1","33","ppb","31","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/17/2018","AQS","060730001","1","38","ppb","36","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/18/2018","AQS","060730001","1","19","ppb","18","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/19/2018","AQS","060730001","1","10","ppb","9","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/20/2018","AQS","060730001","1","34","ppb","32","Chula Vista","20","83.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/21/2018","AQS","060730001","1","26","ppb","25","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/22/2018","AQS","060730001","1","26","ppb","25","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/23/2018","AQS","060730001","1","25","ppb","24","Chula Vista","20","83.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/24/2018","AQS","060730001","1","23","ppb","22","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/25/2018","AQS","060730001","1","32","ppb","30","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
"02/26/2018","AQS","060730001","1","27","ppb","25","Chula Vista","22","92.0000","42602","Nitrogen dioxide (NO2)","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.6312420008573","-117.059088"
